NewsDate,NewsTitle,Path,URL
20200225,"대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔","..\rawdata\기업별 관련기사\은행\신한은행\20200225 대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700275
20200225,"대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔","..\rawdata\기업별 관련기사\은행\KB국민은행\20200225 대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700275
20200225,불어난 동산담보대출…6개 시중은행만 1兆,..\rawdata\기업별 관련기사\_공통\20200225 불어난 동산담보대출…6개 시중은행만 1兆.md,https://www.dailian.co.kr/news/view/870824?sc=Naver
20200225,"대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔","..\rawdata\기업별 관련기사\은행\우리은행\20200225 대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700275
20200226,대면 비중 98%인데..보험설계사 손놨다,..\rawdata\기업별 관련기사\보험사\생보사\NH농협생명\20200226 대면 비중 98%인데..보험설계사 손놨다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700981
20200226,"캐롯, 디지털보험 관련 특허 및 배타적 사용권 획득","..\rawdata\기업별 관련기사\보험사\손보사\캐롯손해보험\20200226 캐롯, 디지털보험 관련 특허 및 배타적 사용권 획득.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=468&aid=0000630959
20200226,대면 비중 98%인데..보험설계사 손놨다,..\rawdata\기업별 관련기사\보험사\생보사\한화생명\20200226 대면 비중 98%인데..보험설계사 손놨다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700981
20200226,대면 비중 98%인데..보험설계사 손놨다,..\rawdata\기업별 관련기사\보험사\생보사\삼성생명\20200226 대면 비중 98%인데..보험설계사 손놨다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700981
20200226,대면 비중 98%인데..보험설계사 손놨다,..\rawdata\기업별 관련기사\보험사\생보사\교보생명\20200226 대면 비중 98%인데..보험설계사 손놨다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700981
20200226,고객 발길 끊긴 은행 '비대면 거래' 증가,..\rawdata\기업별 관련기사\은행\NH농협은행\20200226 고객 발길 끊긴 은행 '비대면 거래' 증가.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700986
